sample,student_name,mean_reaction_time
1,Alice Johnson,295.8
1,Ben Okafor,378.4
1,Chloe Martinez,326.7
1,David Kim,398.0
1,Emma Thompson,306.6
1,Faisal Rahman,311.0
1,Grace Chen,319.0
1,Harry Patel,387.0
1,Isabel Santos,360.9
1,Jack Williams,268.4
1,Kezia Adeyemi,356.7
1,Liam O'Brien,324.0
1,Maya Singh,317.2
1,Noah Clarke,306.0
1,Oscar Bennett,241.4
1,Priya Sharma,331.6
1,Ravi Kapoor,307.8
1,Sofia Lindqvist,286.1
1,Tariq Hassan,298.3
1,Uma Devi,358.5
2,Alice Johnson,325.6
2,Ben Okafor,255.4
2,Chloe Martinez,344.0
2,David Kim,466.9
2,Emma Thompson,289.4
2,Faisal Rahman,337.8
2,Grace Chen,288.5
2,Harry Patel,299.8
2,Isabel Santos,345.2
2,Jack Williams,283.9
2,Kezia Adeyemi,414.2
2,Liam O'Brien,284.0
2,Maya Singh,348.3
2,Noah Clarke,297.3
2,Oscar Bennett,330.6
2,Priya Sharma,376.9
2,Ravi Kapoor,260.8
2,Sofia Lindqvist,308.0
2,Tariq Hassan,278.3
2,Uma Devi,356.9
3,Alice Johnson,313.1
3,Ben Okafor,343.8
3,Chloe Martinez,328.9
3,David Kim,416.2
3,Emma Thompson,321.3
3,Faisal Rahman,313.7
3,Grace Chen,336.0
3,Harry Patel,290.8
3,Isabel Santos,330.2
3,Jack Williams,256.5
3,Kezia Adeyemi,370.2
3,Liam O'Brien,267.6
3,Maya Singh,310.7
3,Noah Clarke,235.9
3,Oscar Bennett,354.0
3,Priya Sharma,384.7
3,Ravi Kapoor,324.9
3,Sofia Lindqvist,309.2
3,Tariq Hassan,339.2
3,Uma Devi,344.8
4,Alice Johnson,267.0
4,Ben Okafor,379.0
4,Chloe Martinez,316.0
4,David Kim,223.7
4,Emma Thompson,330.3
4,Faisal Rahman,366.1
4,Grace Chen,365.4
4,Harry Patel,296.0
4,Isabel Santos,346.7
4,Jack Williams,377.6
4,Kezia Adeyemi,372.8
4,Liam O'Brien,308.3
4,Maya Singh,311.0
4,Noah Clarke,365.4
4,Oscar Bennett,315.7
4,Priya Sharma,310.7
4,Ravi Kapoor,320.4
4,Sofia Lindqvist,279.4
4,Tariq Hassan,341.1
4,Uma Devi,276.6
5,Alice Johnson,357.6
5,Ben Okafor,305.7
5,Chloe Martinez,329.6
5,David Kim,338.8
5,Emma Thompson,317.7
5,Faisal Rahman,222.4
5,Grace Chen,326.6
5,Harry Patel,356.5
5,Isabel Santos,336.0
5,Jack Williams,351.3
5,Kezia Adeyemi,296.4
5,Liam O'Brien,285.2
5,Maya Singh,297.8
5,Noah Clarke,291.7
5,Oscar Bennett,302.9
5,Priya Sharma,296.9
5,Ravi Kapoor,332.0
5,Sofia Lindqvist,259.2
5,Tariq Hassan,312.3
5,Uma Devi,261.5
6,Alice Johnson,343.6
6,Ben Okafor,361.6
6,Chloe Martinez,356.0
6,David Kim,303.6
6,Emma Thompson,400.1
6,Faisal Rahman,285.1
6,Grace Chen,225.0
6,Harry Patel,290.8
6,Isabel Santos,301.5
6,Jack Williams,317.0
6,Kezia Adeyemi,299.8
6,Liam O'Brien,341.0
6,Maya Singh,407.8
6,Noah Clarke,306.0
6,Oscar Bennett,324.9
6,Priya Sharma,307.5
6,Ravi Kapoor,284.3
6,Sofia Lindqvist,358.8
6,Tariq Hassan,334.7
6,Uma Devi,312.2
7,Alice Johnson,374.5
7,Ben Okafor,322.1
7,Chloe Martinez,277.9
7,David Kim,351.6
7,Emma Thompson,280.1
7,Faisal Rahman,321.8
7,Grace Chen,353.8
7,Harry Patel,410.9
7,Isabel Santos,272.7
7,Jack Williams,292.8
7,Kezia Adeyemi,356.7
7,Liam O'Brien,302.6
7,Maya Singh,300.0
7,Noah Clarke,296.0
7,Oscar Bennett,298.4
7,Priya Sharma,350.4
7,Ravi Kapoor,381.1
7,Sofia Lindqvist,255.3
7,Tariq Hassan,343.9
7,Uma Devi,270.7
8,Alice Johnson,317.1
8,Ben Okafor,285.1
8,Chloe Martinez,328.4
8,David Kim,365.8
8,Emma Thompson,302.6
8,Faisal Rahman,354.8
8,Grace Chen,356.8
8,Harry Patel,375.8
8,Isabel Santos,311.1
8,Jack Williams,231.7
8,Kezia Adeyemi,314.7
8,Liam O'Brien,310.7
8,Maya Singh,283.0
8,Noah Clarke,297.1
8,Oscar Bennett,329.7
8,Priya Sharma,307.3
8,Ravi Kapoor,284.8
8,Sofia Lindqvist,330.9
8,Tariq Hassan,342.9
8,Uma Devi,318.4
9,Alice Johnson,309.3
9,Ben Okafor,289.2
9,Chloe Martinez,294.1
9,David Kim,242.4
9,Emma Thompson,287.6
9,Faisal Rahman,282.4
9,Grace Chen,297.7
9,Harry Patel,270.2
9,Isabel Santos,299.5
9,Jack Williams,336.6
9,Kezia Adeyemi,300.0
9,Liam O'Brien,315.7
9,Maya Singh,338.2
9,Noah Clarke,315.6
9,Oscar Bennett,312.3
9,Priya Sharma,348.9
9,Ravi Kapoor,268.0
9,Sofia Lindqvist,356.7
9,Tariq Hassan,291.2
9,Uma Devi,437.4
10,Alice Johnson,298.3
10,Ben Okafor,349.7
10,Chloe Martinez,301.4
10,David Kim,323.9
10,Emma Thompson,303.3
10,Faisal Rahman,332.4
10,Grace Chen,348.5
10,Harry Patel,296.2
10,Isabel Santos,386.1
10,Jack Williams,320.5
10,Kezia Adeyemi,308.1
10,Liam O'Brien,317.8
10,Maya Singh,340.0
10,Noah Clarke,265.6
10,Oscar Bennett,315.1
10,Priya Sharma,266.0
10,Ravi Kapoor,368.7
10,Sofia Lindqvist,320.2
10,Tariq Hassan,265.8
10,Uma Devi,304.3
11,Alice Johnson,336.4
11,Ben Okafor,275.9
11,Chloe Martinez,327.0
11,David Kim,261.3
11,Emma Thompson,304.2
11,Faisal Rahman,294.0
11,Grace Chen,304.5
11,Harry Patel,341.8
11,Isabel Santos,292.5
11,Jack Williams,339.2
11,Kezia Adeyemi,306.5
11,Liam O'Brien,327.7
11,Maya Singh,375.4
11,Noah Clarke,263.4
11,Oscar Bennett,336.4
11,Priya Sharma,267.2
11,Ravi Kapoor,311.8
11,Sofia Lindqvist,338.2
11,Tariq Hassan,358.3
11,Uma Devi,285.3
12,Alice Johnson,446.1
12,Ben Okafor,340.2
12,Chloe Martinez,327.4
12,David Kim,335.7
12,Emma Thompson,345.2
12,Faisal Rahman,309.1
12,Grace Chen,345.2
12,Harry Patel,327.1
12,Isabel Santos,314.5
12,Jack Williams,375.3
12,Kezia Adeyemi,328.0
12,Liam O'Brien,248.2
12,Maya Singh,309.4
12,Noah Clarke,334.5
12,Oscar Bennett,353.3
12,Priya Sharma,367.9
12,Ravi Kapoor,358.5
12,Sofia Lindqvist,276.6
12,Tariq Hassan,375.2
12,Uma Devi,261.4
13,Alice Johnson,346.8
13,Ben Okafor,343.0
13,Chloe Martinez,356.4
13,David Kim,318.3
13,Emma Thompson,424.5
13,Faisal Rahman,379.0
13,Grace Chen,350.9
13,Harry Patel,274.3
13,Isabel Santos,329.6
13,Jack Williams,328.1
13,Kezia Adeyemi,363.4
13,Liam O'Brien,318.8
13,Maya Singh,330.8
13,Noah Clarke,262.1
13,Oscar Bennett,355.6
13,Priya Sharma,287.7
13,Ravi Kapoor,361.8
13,Sofia Lindqvist,332.2
13,Tariq Hassan,353.9
13,Uma Devi,300.2
14,Alice Johnson,330.9
14,Ben Okafor,297.7
14,Chloe Martinez,427.9
14,David Kim,403.3
14,Emma Thompson,308.0
14,Faisal Rahman,328.8
14,Grace Chen,275.4
14,Harry Patel,352.1
14,Isabel Santos,303.1
14,Jack Williams,379.1
14,Kezia Adeyemi,298.4
14,Liam O'Brien,293.5
14,Maya Singh,317.5
14,Noah Clarke,343.2
14,Oscar Bennett,256.9
14,Priya Sharma,312.9
14,Ravi Kapoor,335.0
14,Sofia Lindqvist,333.0
14,Tariq Hassan,301.1
14,Uma Devi,365.3
15,Alice Johnson,356.6
15,Ben Okafor,313.4
15,Chloe Martinez,357.7
15,David Kim,329.0
15,Emma Thompson,296.6
15,Faisal Rahman,369.9
15,Grace Chen,335.3
15,Harry Patel,371.0
15,Isabel Santos,309.6
15,Jack Williams,366.5
15,Kezia Adeyemi,299.6
15,Liam O'Brien,352.4
15,Maya Singh,331.6
15,Noah Clarke,305.7
15,Oscar Bennett,284.8
15,Priya Sharma,366.3
15,Ravi Kapoor,339.1
15,Sofia Lindqvist,348.6
15,Tariq Hassan,311.3
15,Uma Devi,264.9
16,Alice Johnson,375.2
16,Ben Okafor,320.7
16,Chloe Martinez,297.5
16,David Kim,354.5
16,Emma Thompson,297.3
16,Faisal Rahman,321.2
16,Grace Chen,317.6
16,Harry Patel,288.1
16,Isabel Santos,334.9
16,Jack Williams,344.3
16,Kezia Adeyemi,277.7
16,Liam O'Brien,298.6
16,Maya Singh,349.0
16,Noah Clarke,285.5
16,Oscar Bennett,313.3
16,Priya Sharma,284.7
16,Ravi Kapoor,312.8
16,Sofia Lindqvist,299.9
16,Tariq Hassan,312.0
16,Uma Devi,351.3
17,Alice Johnson,256.3
17,Ben Okafor,313.3
17,Chloe Martinez,348.5
17,David Kim,329.4
17,Emma Thompson,311.0
17,Faisal Rahman,260.8
17,Grace Chen,360.3
17,Harry Patel,251.4
17,Isabel Santos,382.8
17,Jack Williams,328.0
17,Kezia Adeyemi,318.1
17,Liam O'Brien,367.6
17,Maya Singh,399.8
17,Noah Clarke,293.4
17,Oscar Bennett,334.9
17,Priya Sharma,302.2
17,Ravi Kapoor,315.0
17,Sofia Lindqvist,298.4
17,Tariq Hassan,293.9
17,Uma Devi,326.2
18,Alice Johnson,281.8
18,Ben Okafor,399.3
18,Chloe Martinez,373.2
18,David Kim,358.8
18,Emma Thompson,313.5
18,Faisal Rahman,380.7
18,Grace Chen,305.2
18,Harry Patel,376.1
18,Isabel Santos,355.2
18,Jack Williams,244.8
18,Kezia Adeyemi,293.7
18,Liam O'Brien,310.1
18,Maya Singh,330.6
18,Noah Clarke,275.0
18,Oscar Bennett,425.1
18,Priya Sharma,276.7
18,Ravi Kapoor,339.0
18,Sofia Lindqvist,287.9
18,Tariq Hassan,323.5
18,Uma Devi,321.8
19,Alice Johnson,324.0
19,Ben Okafor,389.3
19,Chloe Martinez,298.5
19,David Kim,384.3
19,Emma Thompson,386.5
19,Faisal Rahman,339.9
19,Grace Chen,293.2
19,Harry Patel,331.6
19,Isabel Santos,381.8
19,Jack Williams,334.4
19,Kezia Adeyemi,373.0
19,Liam O'Brien,334.1
19,Maya Singh,333.1
19,Noah Clarke,289.2
19,Oscar Bennett,281.8
19,Priya Sharma,337.8
19,Ravi Kapoor,335.5
19,Sofia Lindqvist,312.7
19,Tariq Hassan,332.9
19,Uma Devi,269.7
20,Alice Johnson,337.8
20,Ben Okafor,295.8
20,Chloe Martinez,261.6
20,David Kim,307.4
20,Emma Thompson,369.9
20,Faisal Rahman,310.1
20,Grace Chen,365.2
20,Harry Patel,301.2
20,Isabel Santos,306.1
20,Jack Williams,322.2
20,Kezia Adeyemi,335.6
20,Liam O'Brien,303.2
20,Maya Singh,300.2
20,Noah Clarke,383.7
20,Oscar Bennett,274.1
20,Priya Sharma,298.5
20,Ravi Kapoor,225.3
20,Sofia Lindqvist,285.0
20,Tariq Hassan,374.7
20,Uma Devi,315.1
21,Alice Johnson,276.0
21,Ben Okafor,257.1
21,Chloe Martinez,299.7
21,David Kim,443.4
21,Emma Thompson,293.7
21,Faisal Rahman,366.2
21,Grace Chen,292.0
21,Harry Patel,291.8
21,Isabel Santos,280.6
21,Jack Williams,322.7
21,Kezia Adeyemi,285.7
21,Liam O'Brien,352.0
21,Maya Singh,329.1
21,Noah Clarke,271.1
21,Oscar Bennett,302.6
21,Priya Sharma,321.7
21,Ravi Kapoor,291.7
