sample,student_name,trial,reaction_time
1,Alice Johnson,1,252.2
1,Alice Johnson,2,336.1
1,Alice Johnson,3,241.7
1,Alice Johnson,4,298.2
1,Alice Johnson,5,282.5
1,Alice Johnson,6,275.0
1,Alice Johnson,7,245.0
1,Alice Johnson,8,310.2
1,Alice Johnson,9,324.3
1,Alice Johnson,10,392.3
1,Ben Okafor,1,331.9
1,Ben Okafor,2,384.9
1,Ben Okafor,3,566.9
1,Ben Okafor,4,413.5
1,Ben Okafor,5,421.2
1,Ben Okafor,6,417.0
1,Ben Okafor,7,236.4
1,Ben Okafor,8,359.8
1,Ben Okafor,9,199.6
1,Ben Okafor,10,453.2
1,Chloe Martinez,1,470.6
1,Chloe Martinez,2,282.2
1,Chloe Martinez,3,475.9
1,Chloe Martinez,4,232.1
1,Chloe Martinez,5,226.2
1,Chloe Martinez,6,373.6
1,Chloe Martinez,7,257.9
1,Chloe Martinez,8,284.9
1,Chloe Martinez,9,418.7
1,Chloe Martinez,10,244.5
1,David Kim,1,334.6
1,David Kim,2,348.6
1,David Kim,3,390.4
1,David Kim,4,420.3
1,David Kim,5,349.7
1,David Kim,6,257.2
1,David Kim,7,443.8
1,David Kim,8,601.4
1,David Kim,9,427.8
1,David Kim,10,405.8
1,Emma Thompson,1,281.9
1,Emma Thompson,2,292.4
1,Emma Thompson,3,196.2
1,Emma Thompson,4,365.8
1,Emma Thompson,5,302.2
1,Emma Thompson,6,422.5
1,Emma Thompson,7,226.0
1,Emma Thompson,8,429.0
1,Emma Thompson,9,287.5
1,Emma Thompson,10,262.0
1,Faisal Rahman,1,275.4
1,Faisal Rahman,2,264.8
1,Faisal Rahman,3,139.8
1,Faisal Rahman,4,370.3
1,Faisal Rahman,5,381.7
1,Faisal Rahman,6,424.3
1,Faisal Rahman,7,375.8
1,Faisal Rahman,8,371.7
1,Faisal Rahman,9,174.4
1,Faisal Rahman,10,331.7
1,Grace Chen,1,245.4
1,Grace Chen,2,317.5
1,Grace Chen,3,459.1
1,Grace Chen,4,343.8
1,Grace Chen,5,120.3
1,Grace Chen,6,256.5
1,Grace Chen,7,293.2
1,Grace Chen,8,322.0
1,Grace Chen,9,420.4
1,Grace Chen,10,411.8
1,Harry Patel,1,411.9
1,Harry Patel,2,362.9
1,Harry Patel,3,318.3
1,Harry Patel,4,312.7
1,Harry Patel,5,379.8
1,Harry Patel,6,422.2
1,Harry Patel,7,474.4
1,Harry Patel,8,351.2
1,Harry Patel,9,368.2
1,Harry Patel,10,468.8
1,Isabel Santos,1,223.1
1,Isabel Santos,2,384.3
1,Isabel Santos,3,248.3
1,Isabel Santos,4,449.6
