name,trial,reaction_time_ms,device,caffeine,timestamp,finger_mm
Parker Silva,1,267,Phone,No,2026-09-15T09:11:00Z,73
Parker Silva,2,266,Phone,No,2026-09-15T09:11:04Z,73
Parker Silva,3,367,Phone,No,2026-09-15T09:11:08Z,73
Parker Silva,4,341,Phone,No,2026-09-15T09:11:12Z,73
Parker Silva,5,283,Phone,No,2026-09-15T09:11:16Z,73
Parker Silva,6,320,Phone,No,2026-09-15T09:11:20Z,73
Parker Silva,7,329,Phone,No,2026-09-15T09:11:24Z,73
Parker Silva,8,421,Phone,No,2026-09-15T09:11:28Z,73
Parker Silva,9,262,Phone,No,2026-09-15T09:11:32Z,73
Parker Silva,10,328,Phone,No,2026-09-15T09:11:36Z,73
Jules Ito,1,290,Laptop,Yes,2026-09-15T09:32:00Z,74
Jules Ito,2,324,Laptop,Yes,2026-09-15T09:32:04Z,74
Jules Ito,3,222,Laptop,Yes,2026-09-15T09:32:08Z,74
Jules Ito,4,232,Laptop,Yes,2026-09-15T09:32:12Z,74
Jules Ito,5,824,Laptop,Yes,2026-09-15T09:32:16Z,74
Jules Ito,6,208,Laptop,Yes,2026-09-15T09:32:20Z,74
Jules Ito,7,290,Laptop,Yes,2026-09-15T09:32:24Z,74
Jules Ito,8,421,Laptop,Yes,2026-09-15T09:32:28Z,74
Jules Ito,9,209,Laptop,Yes,2026-09-15T09:32:32Z,74
Jules Ito,10,262,Laptop,Yes,2026-09-15T09:32:36Z,74
Ollie Jensen,1,834,Phone,Yes,2026-09-15T09:24:00Z,74
Ollie Jensen,2,343,Phone,Yes,2026-09-15T09:24:04Z,74
Ollie Jensen,3,277,Phone,Yes,2026-09-15T09:24:08Z,74
Ollie Jensen,4,306,Phone,Yes,2026-09-15T09:24:12Z,74
Ollie Jensen,5,351,Phone,Yes,2026-09-15T09:24:16Z,74
Ollie Jensen,6,342,Phone,Yes,2026-09-15T09:24:20Z,74
Ollie Jensen,7,305,Phone,Yes,2026-09-15T09:24:24Z,74
Ollie Jensen,8,280,Phone,Yes,2026-09-15T09:24:28Z,74
Ollie Jensen,9,489,Phone,Yes,2026-09-15T09:24:32Z,74
Ollie Jensen,10,388,Phone,Yes,2026-09-15T09:24:36Z,74
Harper Hussain,1,365,Phone,No,2026-09-15T09:23:00Z,68
Harper Hussain,2,300,Phone,No,2026-09-15T09:23:04Z,68
